input_text,target_text
You play tennis well.,Sen iyi tenis oynuyorsun.
You promised to help.,Yardım etmek için söz verdin.
You remind me of Tom.,Bana Tom'u hatırlatıyorsun.
You remind me of Tom.,Bana Tom'u hatırlatıyorsunuz.
You said I was lying.,Yalan söylediğimi söyledin.
You said it was over.,Onun bittiğini söyledin.
You said it yourself.,Onu kendin söyledin.
You said so yourself.,Kendin öyle söyledin.
You said that before.,Bunu daha önce söyledin.
You said we could go.,Gidebileceğimizi söyledin.
"You said yes, I hope.","Evet dedin, umarım."
You seem disoriented.,Şaşırmış görünüyorsun.
You seem happy today.,Bugün mutlu görünüyorsun.
You seem incompetent.,Beceriksiz görünüyorsun.
You seem intelligent.,Akıllı görünüyorsun.
You seem nice enough.,Yeterince hoş görünüyorsun.
You seem preoccupied.,Kaygılı görünüyorsun.
You seem pretty busy.,Sen oldukça meşgul görünüyorsun.
You seem pretty nice.,Çok hoş görünüyorsun.
You seem quite upset.,Oldukça üzgün görünüyorsun.
You seem really busy.,Gerçekten meşgul görünüyorsun.
You seem resourceful.,Sen becerikli görünüyorsun.
You seem to be angry.,Kızgın görünüyorsun.
You seem to be bored.,Sen sıkılmış görünüyorsun.
You seem to be drunk.,Sen sarhoş görünüyorsun.
You seem to be happy.,Sen mutlu görünüyorsun.
You seem to be lying.,Yalan söylüyor gibi görünüyorsun.
You seem to be tired.,Yorgun görünüyorsun.
You seem to be upset.,Üzgün gibi görünüyorsun.
You seem to hate Tom.,Tom'dan nefret ediyor gibi görünüyorsun.
You seem unconcerned.,Umursamaz görünüyorsun.
You seem unperturbed.,Soğukkanlı görünüyorsun.
You seem very afraid.,Çok korkmuş görünüyorsun.
You seem very scared.,Çok korkmuş görünüyorsun.
You seem very sleepy.,Çok uykulu görünüyorsun.
You seemed depressed.,Sen bunalımlı görünüyordun.
You seemed exhausted.,Sen bitkin görünüyordun.
You seemed impressed.,Etkilenmiş görünüyordun.
You seemed surprised.,Şaşırmış görünüyordun.
You should apologize.,Özür dilemelisin.
You should apologize.,Senin özür dilemen gerekir.
You should be afraid.,Korkmalısın.
You should be asleep.,Uyumalısın.
You should be asleep.,Uyuyakalmış olmalısın.
You should be in bed.,Yatakta olmalısın.
You should be scared.,Korkuyor olmalısın.
You should calm down.,Sakin olmalısın.
You should come home.,Eve gelmelisin.
You should come soon.,Yakında gelmelisin?
You should dream big.,Büyük hayal kurmalısın.
You should get a job.,Bir işe girmen gerekir.
You should get going.,Sen başlamalısın.
You should get ready.,Hazırlanman gerekir.
You should go to bed.,Yatmaya gitmelisin.
You should have this.,Buna sahip olman gerekir.
You should head home.,Eve gitmelisin.
You should head west.,Batıya gitmelisin.
You should know that.,Onu bilmen gerekiyor.
You should know this.,Bunu bilmelisin.
You should leave now.,Şimdi gitmelisin.
You should let it go.,Onun gitmesine izin vermelisin.
You should loosen up.,Gevşemelisin.
You should marry Tom.,Tom'la evlenmelisin.
You should not sleep.,Uyumamalısın.
You should play golf.,Golf oynamalısın.
You should read more.,Daha çok okumalısın.
You should read this.,Bunu okumalısın.
You should report it.,Onu rapor etmen gerekir.
You should report it.,Onu bildirmen gerekir.
You should stay back.,Geride kalmalısın.
You should stay here.,Burada kalman gerekir.
You should stop that.,Onu durdurmalısın.
You should thank Tom.,Tom'a teşekkür etmelisin.
You should visit Tom.,Sen Tom'u ziyaret etmelisiniz.
You should wait here.,Burada beklemeniz gerekiyor.
You should wash this.,Bunu yıkaman gerekir.
You should win today.,Bugün kazanmalısın.
You should work hard.,Sıkı çalışmalısın.
You should work hard.,Sıkı çalışman gerekiyor.
You should work more.,Daha fazla iş yapman gerekir.
You should've called.,Aramalıydın.
You should've phoned.,Telefon etmeliydin.
You should've phoned.,Telefon etmeliydiniz.
You should've waited.,Beklemeliydin.
You shouldn't go out.,Dışarı çıkmamalısın.
You sing beautifully.,Güzel şarkı söylüyorsun.
You smell like a dog.,Bir köpek gibi kokuyorsun.
"You snooze, you lose.","Uyursan, kaybedersin."
You sound frightened.,Korkmuş görünüyorsun.
You sound very young.,Çok genç görünüyorsun.
You stay out of this.,Sen bu işe karışma.
You stay right there.,Sen tam orada kal.
You still look angry.,Hâlâ kızgın görünüyorsun.
You still look tired.,Hâlâ yorgun görünüyorsun.
You still look upset.,Hâlâ üzgün görünüyorsun.
You still owe me one.,Bana hâlâ bir tane borçlusun.
You still seem angry.,Hâlâ kızgın görünüyorsun.
You still seem upset.,Hâlâ üzgün görünüyorsun.
You sure sleep a lot.,Sen kesinlikle çok uyursun.
You sure sound angry.,Kesinlikle kızgın görünüyorsun.
You sure sound upset.,Kesinlikle üzgün görünüyorsun.
You talk really fast.,Gerçekten hızlı konuşuyorsun.
You three look happy.,Siz üçünüz mutlu görünüyorsunuz.
You touched my heart.,Sen kalbime dokundun.
You tried to kill me.,Beni öldürmeye çalıştın.
You two come with me.,Siz ikiniz benimle geliyorsunuz.
You two fight it out.,Siz ikiniz onunla dışarıda dövüşün.
You two make me sick.,Siz ikiniz beni hasta ediyorsunuz.
You two must be busy.,Siz ikiniz meşgul olmalısınız.
You underestimate me.,Beni küçümsüyorsun.
You very nearly died.,Neredeyse ölüyordun.
You wanted to see me?,Beni görmek istedin mi?
You wanted to see me?,Beni görmek istediniz mi?
You were great today.,Bugün harikaydın.
You were incompetent.,Yetersizdin.
You were magnificent.,Muhteşemdin.
You were my favorite.,Sen benim favorimdi.
You were never alone.,Asla yalnız değildin.
You were sensational.,Sansasyoneldin.
You were spectacular.,Muhteşemdin.
You were unconscious.,Sen bilinçsizdin.
You weren't at fault.,Sen kabahatli değildin.
You weren't that bad.,Bu kadar kötü değildin.
You will be punished.,Cezalandırılacaksın.
You will be punished.,Cezalandırılacaksınız.
You will be rewarded.,Mükâfatlandırılacaksın.
You will be rewarded.,Mükâfatlandırılacaksınız.
You will regret this.,Buna pişman olacaksın.
You wished to see me?,Beni mi görmek istediniz?
You won't believe it.,Buna inanmayacaksın.
You won't believe me.,Bana inanmayacaksın.
You won't need a gun.,Bir silaha ihtiyacın olmayacak.
You won't need those.,Onlara ihtiyacın olmayacak.
You won't understand.,Anlamayacaksın.
You wouldn't do that.,Sen bunu yapmazdın.
You wouldn't like it.,Bundan hoşlanmazdın.
You wouldn't survive.,Hayatta kalmazdın.
You'd better ask Tom.,Tom'a sorsan iyi olur.
You'd better come in.,İçeri girsen iyi olur.
You'd better do that.,Onu yapsan iyi olur.
You'd better eat now.,Şimdi yesen daha iyi.
You'd better go home.,Eve gitsen iyi olur.
You'd better shut up.,Sussan iyi olur.
You'd better take it.,Onu götürsen iyi olur.
You'll be impressive.,Etkileyici olacaksın.
You'll be in trouble.,Sen dert içinde olacaksın.
You'll be quite safe.,Oldukça güvende olacaksın.
You'll be safe there.,Orada güvende olacaksın.
You'll be very sorry.,Çok üzüleceksin.
You'll die in prison.,Hapishanede öleceksin.
You'll die out there.,Orada öleceksin.
You'll embarrass Tom.,Tom'u utandıracaksın.
You'll figure it out.,Bunu halledeceksin.
You'll find somebody.,Birini bulacaksın.
You'll get over this.,Bunun üstesinden geleceksin.
You'll get pneumonia.,Zatürreye yakalanacaksın.
You'll get them back.,Onları geri alacaksınız.
You'll get well soon.,Yakında iyileşirsin.
You'll have to drive.,Sen sürmek zorunda olacaksın.
You'll have to leave.,Terk etmek zorunda kalacaksın.
You'll have to start.,Başlaman gerekecek.
You'll never beat me.,Beni asla yenmeyeceksin.
You'll never find it.,Onu asla bulmayacaksın.
You'll never make it.,Bunu asla yapmayacaksın.
You'll never stop me.,Beni asla durdurmayacaksın.
You'll probably lose.,Muhtemelen kaybedeceksin.
You'll recognize Tom.,Tom'u tanıyacaksın.
You'll soon be happy.,Yakında mutlu olacaksın.
You'll soon find out.,Yakında öğreneceksin.
"You're German, right?","Sen Almansın, değil mi?"
You're a bit strange.,Sen biraz tuhafsın.
You're a born leader.,Sen doğuştan bir lidersin.
You're a brave woman.,Sen cesur bir kadınsın.
You're a crazy woman.,Sen çılgın bir kadınsın.
You're a fast runner.,Sen hızlı bir koşucusun.
You're a fast worker.,Sen hızlı bir işçisin?
You're a filthy liar!,Sen pis bir yalancısın.
You're a good artist.,Sen iyi bir sanatçısın.
You're a good dancer.,İyi bir dansçısın.
You're a good driver.,Sen iyi bir sürücüsün.
You're a good farmer.,Sen iyi bir çiftçisin.
You're a good father.,Sen iyi bir babasın.
You're a good friend.,Sen iyi bir arkadaşsın.
You're a good golfer.,Sen iyi bir golfçüsün.
You're a good kisser.,Sen iyi öpüşüyorsun.
You're a good leader.,Sen iyi bir lidersin.
You're a good mother.,Sen iyi bir annesin.
You're a good mother.,Siz iyi bir annesiniz.
You're a good person.,Sen iyi bir insansın.
You're a good person.,Siz iyi bir insansınız.
You're a good singer.,Sen iyi bir şarkıcısın.
You're a great coach.,Sen harika bir koçsun.
You're a kind person.,Kibar bir insansın.
You're a likable guy.,Sen hoş bir adamsın.
You're a little liar.,Sen biraz yalancısın.
You're a little pale.,Sen biraz solgunsun.
You're a lot like me.,Sen bana çok benziyorsun.
You're a mean person.,Sen pinti bir kişisin.
You're a nice person.,Sen kibar bir insansın.
You're a patient man.,Sen sabırlı bir adamsın.
"You're a prince, Tom.","Sen gerçekten iyi ve nazik bir kişisin, Tom."
You're a real friend.,Sen gerçek bir dostsun.
You're a rude person.,Sen kaba bir adamsın.
You're a safe driver.,Sen güvenli bir şoförsün.
You're a soldier now.,Sen artık bir askersin.
You're a strange guy.,Sen garip bir adamsın.
You're a strange kid.,Sen tuhaf bir çocuksun.
You're a strange man.,Sen garip bir adamsın.
You're a teacher now.,Artık bir öğretmensin.
You're a teacher now.,Artık bir öğretmensiniz.
You're a total wreck.,Sen tam bir harabesin.
You're a true friend.,Sen gerçek bir dostsun.
You're a true friend.,Sen gerçek bir arkadaşsın.
You're a true friend.,Siz gerçek bir arkadaşsınız.
You're a true friend.,Siz gerçek bir dostsunuz.
You're acting creepy.,Tüyler ürpertici şekilde davranıyorsun.
You're actually late.,Sen gerçekten geç kaldın.
You're afraid of him.,Ondan korkuyorsun.
You're all they have.,Sahip oldukları tek şey sensin.
You're all very calm.,Hepiniz çok sakinsiniz.
You're all washed up.,Hepiniz hapı yutmuşsunuz.
You're almost thirty.,Sen neredeyse otuz yaşındasın.
You're always around.,Sen her zaman etraftasın.
You're always hungry.,Sen her zaman açsın.
You're among friends.,Sen dostlar arasındasın.
You're an hour early.,Bir saat erken geldin.
"You're back, are you?","Geri döndün, değil mi?"
You're being audited.,Denetleniyorsun.
You're being evasive.,Kaçamak davranıyorsun.
You're being watched.,Takip ediliyorsunuz.
You're compassionate.,Sen merhametlisin.
You're confusing Tom.,Tom'un kafasını karıştırıyorsun.
You're conscientious.,Sen vicdanlısın.
You're depressing me.,Moralimi bozuyorsun.
You're disrespectful.,Sen saygısızsın.
You're double-parked.,Çifte park etmişsiniz.
You're exactly right.,Tamamen haklısın.
You're extraordinary.,Sen olağanüstüsün.
You're flattering me.,Bana yağ çekiyorsun.
You're free to leave.,Gitmekte özgürsün.
You're getting older.,Yaşlanıyorsun.
You're getting worse.,Giderek kötüleşiyorsun.
You're going nowhere.,Hiçbir yere gitmiyorsun.
You're going to lose.,Sen kaybedeceksin.
You're going to lose.,Siz kaybedeceksiniz.
You're going too far.,Çok uzağa gidiyorsun.
You're good at piano.,Sen piyanoda iyisin.
You're great at this.,Sen bunda harikasın.
You're guilty as sin.,Yüzüne bakılmayacak kadar suçlusun.
You're in charge now.,Artık sen sorumlusun.
You're in fine shape.,Sen formdasın.
You're in good hands.,İyi ellerdesin.
You're in good hands.,İyi ellerdesiniz.
You're in good shape.,Sen iyi durumdasın.
You're in my prayers.,Sen benim dualarımdasın.
You're in your prime.,Hayatının baharındasın.
You're inconsiderate.,Sen düşüncesizsin.
You're indispensable.,Sen kaçınılmazsın.
You're irreplaceable.,Sen yeri doldurulamazsın.
You're irresponsible.,Sen sorumsuzsun.
"You're joking, right?","Şaka yapıyorsun, değil mi?"
You're just a coward.,Sen yalnızca bir korkaksın.
You're just children.,Siz sadece çocuksunuz.
You're just guessing.,Sadece tahmin ediyorsun.
You're just like Tom.,Sen sadece Tom gibisin.
You're kind of scary.,Biraz korkutucusun.
You're late for work.,İşe geç kalıyorsun.
You're like children.,Siz çocuklar gibisiniz.
You're looking great.,Harika görünüyorsun.
You're looking tired.,Yorgun görünüyorsun.
You're making a mess.,Ortalığı batırıyorsun.
You're materialistic.,Sen materyalistsin.
You're misunderstood.,Sen yanlış anlaşılansın.
You're my everything.,Sen benim her şeyimsin.
You're my girlfriend.,Sen benim kız arkadaşımsın.
You're my hero today.,Sen bugün benim kahramanımsın.
You're never at home.,Hiç evde bulunmuyorsun.
You're no fun at all.,Hiç eğlenceli değilsin.
You're not a suspect.,Sen bir şüpheli değilsin.
You're not in charge.,Sen sorumlu değilsin.
You're not listening!,Dinlemiyorsun!
You're not listening.,Dinlemiyorsun.
You're not listening.,Dinlemiyorsunuz.
You're not listening.,Sen dinlemiyorsun.
You're not my father.,Sen benim babam değilsin.
You're not my friend.,Sen benim arkadaşım değilsin.
You're not my friend.,Sen benim dostum değilsin.
You're not my mother.,Sen benim annem değilsin.
You're not one of us.,Bizden biri değilsin.
You're not penniless.,Beş parasız değilsin.
You're not ready yet.,Henüz hazır değilsin.
You're not safe here.,Burada güvende değilsin.
You're not the first.,Sen birinci değilsin.
You're not very good.,Sen çok iyi değilsin.
You're not very tidy.,Sen çok düzenli değilsin.
You're on television.,Televizyondasın.
You're one of us now.,Şimdi bizden birisin.
You're opportunistic.,Sen fırsatçısın.
You're our best hope.,Sen bizim en iyi umudumuzsun.
You're our only hope.,Sen bizim tek umudumuzsun.
You're out of danger.,Tehlikede değilsin.
You're out of danger.,Tehlikede değilsiniz.
You're overconfident.,Sen kendine aşırı güvenensin.
You're overemotional.,Sen aşırı duygusalsın.
You're quite correct.,Sen oldukça doğrusun.
You're quite welcome.,Oldukça hoş karşılandın.
You're really boring.,Gerçekten sıkıcısın.
You're really clumsy.,Sen gerçekten sakarsın.
You're really gifted.,Sen gerçekten yeteneklisin.
You're really pretty.,Gerçekten hoşsun.
You're right on time.,Sen tam zamanında geldin.
"You're single, right?","Bekarsın, değil mi?"
You're so good at it.,Bunda çok iyisin.
You're so kind to me.,Bana karşı çok naziksin.
You're so mysterious.,Çok gizemlisin.
You're sophisticated.,Sen sofistikesin.
You're special to me.,Benim için özelsin.
You're still a child.,Hala bir çocuksun.
You're still growing.,Hâlâ büyüyorsun.
You're still shaking.,Hâlâ titriyorsun.
You're still smiling.,Hala gülümsüyorsun.
You're such a coward.,Sen bir korkaksın.
You're such a gossip.,Sen böyle bir dedikoducusun.
You're such a weirdo.,Sen bir garip tipsin.
You're such an idiot!,Sen bir aptalsın!
You're such an idiot!,Ne kadar da aptalsın!
You're such an idiot.,Sen böyle bir salaksın.
You're temperamental.,Sen maymun iştahlısın.
You're tempting fate.,Kendini riske atıyorsun.
You're the boss here.,Burada patron sensin.
You're the historian.,Sen tarihçisin.
You're the lucky one.,Sen şanslı olansın.
You're the scapegoat.,Sen günah keçisisin.
You're the smart one.,Sen zeki birisin.
You're the weird one.,Sen tuhaf birisin.
"You're thirty, right?","Otuz yaşındasın, değil mi?"
You're too insistent.,Çok ısrarcısın.
"You're too kind, Tom.","Çok naziksin, Tom."
You're too laid back.,Çok rahatsın.
You're too outspoken.,Sen çok açık sözlüsün.
You're totally right.,Tamamen haklısın.
You're unforgettable.,Sen unutulmazsın.
You're unimaginative.,Sen hayal gücü kıt birisin.
You're uninteresting.,Sen ilginç değilsin.
You're unpredictable.,Sen öngörülemezsin.
You're untrustworthy.,Sen güvenilmezsin.
You're upsetting Tom.,Tom'u üzüyorsun.
You're very annoying.,Çok can sıkıcısın.
You're very arrogant.,Çok kibirlisin.
You're very flexible.,Çok esneksin.
You're very friendly.,Çok cana yakınsın.
You're very generous.,Çok cömertsin.
You're very gracious.,Sen çok zarifsin.
You're very handsome.,Çok yakışıklısın.
You're very ignorant.,Çok cahilsin.
You're very original.,Çok özgünsün.
You're very outgoing.,Çok sempatiksin.
You're very talented.,Çok yeteneklisin.
You're wasting money.,Sen parayı boşa harcıyorsun.
You're wasting water.,Suyu boşa harcıyorsun.
You've been deceived.,Aldatıldın.
You've been infected.,Bir hastalığa bulaştırıldınız.
You've been selected.,Sen seçildin.
You've changed a lot.,Sen çok değiştin.
You've done it again.,Bunu tekrar yaptın.
You've done it right.,Doğru yaptın.
You've done it wrong.,Onu yanlış yaptın.
You've done your job.,Sen işini yaptın.
You've earned a rest.,Bir dinlenmeyi hak ettin.
You've gained weight.,Kilo almışsın.
You've got a problem.,Bir sorunun var.
You've got a visitor.,Bir ziyaretçin var.
You've got my helmet.,Kaskımı aldın.
You've got my number.,Benim numarama sahipsin.
You've got nice legs.,Güzel bacakların var.
You've got no choice.,Tercihin yok.
You've got seniority.,Kıdemin var.
You've got till noon.,Öğleye kadar geldin.
You've got to fix it.,Onu tamir etmelisin.
You've got to fix it.,Onu tamir etmen gerekiyor.
You've got to fix it.,Onu tamir etmek zorundasın.
You've got to get up.,Sen kalkmak zorundasın.
You've got to go now.,Şimdi gitmek zorundasın.
You've got to try it.,Bunu denemelisin.
You've got to try it.,Bunu denemek zorundasın.
You've got to try it.,Bunu denemen gerekiyor.
You've got to try it.,Bunu denemen lazım.
You've got willpower.,İraden var.
You've grown so tall.,Çok uzun boylu oldun.
"You've grown up, Tom.","Sen büyüdün, Tom."
You've helped me out.,Sen bana yardım ettin.
You've helped us all.,Hepimize yardım ettin.
You've hurt me a lot.,Beni çok incittin.
You've looked better.,Daha iyi görünüyordun.
You've made me angry.,Sen beni kızdırdın.
You've made progress.,Gelişme kaydettin.
You've made us proud.,Sen bizi gururlandırdın.
You've misunderstood.,Sen yanlış anladın.
You've put on weight.,Kilo aldın.
You've risked enough.,Yeterince riske ettin.
You've upset my life.,Hayatımı alt üst ettin.
Your answer is right.,Cevabınız doğru.
Your answer is wrong.,Cevabınız yanlış.
Your bag looks heavy.,Çantan ağır görünüyor.
Your clothes are wet.,Elbiseleriniz ıslak.
Your collar is dirty.,Senin yakan kirli.
Your daughter's tall.,Senin kızın uzun boylu.
Your dog bit my hand.,Köpeğiniz elimi ısırdı.
Your dog is very big.,Köpeğin çok büyük.
Your dog is very big.,Senin köpeğin çok büyük.
Your dog is very fat.,Köpeğin çok şişman.
Your dog just bit me.,Köpeğin az önce beni ısırdı.
Your door's unlocked.,Kapın kilitli değil.
Your feet are filthy.,Ayakların çok pis.
Your friend is tired.,Arkadaşın yorgun.
Your hair is perfect.,Senin saçın mükemmel.
Your hair looks nice.,Saçınız güzel görünüyor.
Your hair looks nice.,Saçın hoş gözüküyor.
Your hair looks nice.,Saçın hoş görünüyor.
Your hand is shaking.,Elin titriyor.
Your hands are dirty.,Ellerin kirli.
Your hat looks silly.,Şapkan saçma görünüyor.
Your ideas are weird.,Fikirleriniz tuhaf.
Your mother loves me.,Annen beni seviyor.
Your nose is running.,Burnunuz akıyor.
Your opinion matters.,Senin görüşün önemli.
Your pants are dirty.,Pantolonun kirli.
Your parents hate me.,Ebeveynlerin benden nefret ediyor.
Your phone is bugged.,Telefonunuz dinleniyor.
Your phone's ringing.,Telefonun çalıyor.
Your plan won't work.,Planınız işe yaramayacak.
Your plan won't work.,Planın işe yaramayacak.
Your pulse is normal.,Senin nabzın normal.
Your shoes are dirty.,Kunduraların kirli.
Your shoes are dirty.,Ayakkabıların kirli.
Your shoes are muddy.,Ayakkabıların çamurlu.
Your skin is so soft.,Cildiniz çok yumuşak.
Your son is a genius.,Oğlunuz bir dahi.
Your son is an angel.,Senin oğlun bir melek.
Your speech was good.,Konuşmanız iyiydi.
Your story is boring.,Hikayen sıkıcı.
Your strategy worked.,Stratejiniz işe yaradı.
Your time is limited.,Zamanınız sınırlı.
Your voice isn't bad.,Sesiniz kötü değil.
"Says who? ""Says me.""","Kim söylüyor? ""Ben söylüyorum."""
A cat has seven lives.,Bir kedinin yedi canı vardır.
A clock has two hands.,"Bir saatin, iki eli vardır."
A cow has a long tail.,Bir ineğin uzun bir kuyruğu vardır.
A dog is following us.,Bir köpek bizi takip ediyor.
A dolphin is a mammal.,Yunus bir memelidir.
A guard's been killed.,Bir gardiyan öldürüldü.
A house is not a home.,Bir ev bir yuva değildir.
A little bird told me.,Küçük bir kuş bana söyledi.
A lot of people do it.,Birçok kişi bunu yapıyor.
A new idea came to me.,Yeni bir fikir aklıma geldi.
"A nice room, isn't it?","Güzel bir oda, değil mi?"
A table has four legs.,Bir masanın dört bacağı var.
A week has seven days.,Bir haftanın yedi günü var.
"Above all, be patient.","Her şeyden önce, sabırlı olun."
Accidents will happen.,Kazalar olacaktır.
"Actually, it's my job.","Aslında, bu benim işim."
Add rice and mix well.,Pirinç ekleyin ve iyice karıştırın.
Add water to the soup.,Çorbaya su ekle.
Afghanistan is at war.,Afganistan savaşta.
All I ate was bananas.,Bütün yediğim muzdu.
All I need is a break.,Tek ihtiyacım olan bir mola.
All I want is freedom.,Bütün istediğim özgürlüktür.
All Tom does is sleep.,Tom'un tüm yaptığı uyumak.
All Tom wants is love.,Tom'un istediği tek şey aşk.
All lawyers are liars.,Bütün avukatlar yalancıdır.
All my books are gone.,Tüm kitaplarım kayıp.
All of them were gone.,Onların hepsi gitmiş.
All of us were silent.,Hepimiz sessizdik.
All our money is gone.,Bütün paramız bitti.
"All right, I'll do it.","Tamam, Ben onu yapacağım."
All the boys ran away.,Bütün erkekler kaçtılar.
All the eggs went bad.,Bütün yumurtaları bozuldu.
All the food was gone.,Tüm yiyecek bitti.
All the money is gone.,Bütün para bitti.
All these are correct.,Bütün bunlar doğrudur.
All this is new to me.,Bütün bunlar benim için yeni.
All three of us agree.,Üçümüz katılıyoruz.
All three were killed.,Her üçü de öldürüldü.
All we can do is hope.,Bütün yapabileceğimiz ümit etmektir.
All we can do is pray.,Bütün yapabileceğimiz dua etmek.
All we can do is wait.,Bütün yapabileceğimiz beklemektir.
Allow me to elucidate.,İzah etmeme izin ver.
Always arrive on time.,Her zaman zamanında gel.
Always tell the truth.,Her zaman doğruyu söyle.
Am I allowed to enter?,Girebilir miyim?
Am I allowed to enter?,Girmeye iznim var mı?
Am I allowed to leave?,Gidebilir miyim?
Am I being too subtle?,Ben çok ince davranıyor muyum?
Am I doing this right?,Bunu doğru yapıyor muyum?
Am I doing this wrong?,Bunu yanlış mı yapıyorum?
Am I driving too fast?,Çok hızlı mı sürüyorum?
Am I making any sense?,Mantıklı oluyor muyum?
Am I missing anything?,Herhangi bir şey kaçırıyor muyum?
Am I right about that?,Bu konuda haklı mıyım?
Am I supposed to stop?,Durmam gerekiyor mu?
Am I talking too fast?,Çok hızlı mı konuşuyorum?
Am I talking too loud?,Çok yüksek sesle mi konuşuyorum?
Am I talking too much?,Ben çok fazla konuşuyor muyum?
Am I that predictable?,O kadar öngörülebilir miyim?
Am I too old for this?,Bunun için fazla mı yaşlıyım?
Am I walking too fast?,Çok mu hızlı yürüyorum?
Am I walking too fast?,Çok hızlı mı yürüyorum?
Am I wrong about that?,Ben bu konuda hatalı mıyım?
America is very large.,Amerika çok büyük.
America is very large.,Amerika çok geniştir.
And here's the reason.,Ve işte nedeni.
"And now, it's my turn!","Ve şimdi, sıra bende!"
And then what happens?,Ve sonra ne olur?
Another day has begun.,Başka bir gün başladı.
Any advice would help.,Herhangi bir tavsiye yardımcı olurdu.
Any child can do that.,Herhangi bir çocuk bunu yapabilir.
Any time will suit me.,Her zaman bana uygun olacaktır.
Anybody could do this.,Herhangi biri bunu yapabilir.
Anybody could do this.,Bunu kim olsa yapabilir.
Anyone can talk to me.,Herkes benimle konuşabilir.
Anything could happen.,Her şey olabilir.
Anything might happen.,Her şey olabilir.
Anything will be fine.,Her şey iyi olacak.
"Anyway, I did my best.","Her neyse, ben elimden geleni yaptım."
Are all of them ready?,Onların hepsi hazır mı?
Are the muffins ready?,Çörekler hazır mı?
Are there any bananas?,Hiç muz var mı?
Are there any options?,Hiç seçenek var mı?
Are these Tom's notes?,Bunlar Tom'un notları mı?
Are these Tom's shoes?,Bunlar Tom'un ayakkabıları mı?
Are these your gloves?,Bunlar sizin eldivenleriniz mi?
Are these your horses?,Bunlar senin atların mı?
Are these your things?,Bunlar senin eşyaların mı?
Are they all the same?,Onların hepsi aynı mı?
Are they done already?,Onlar zaten yapıldı mı?
Are they going to die?,Onlar ölecek mi?
Are they still in bed?,Onlar hâlâ yatakta mı?
Are they your friends?,Onlar senin arkadaşların mı?
Are things better now?,Artık işler daha mı iyi?
Are things going well?,İşler iyi gidiyor mu?
