input_text,target_text
We'll watch Tom.,Tom'u izleyeceğiz.
We'll watch you.,Sizi izleyeceğiz.
We'll work hard.,Çok çalışacağız.
We're Canadians.,Biz Kanadalılarız.
We're Canadians.,Biz Kanadalıyız.
We're adaptable.,Biz uygunuz.
We're all alone.,Hepimiz yalnızız.
We're all angry.,Hepimiz kızgınız.
We're all armed.,Hepimiz silahlıyız.
We're all bored.,Hepimiz sıkılıyoruz.
We're all crazy.,Hepimiz deliyiz.
We're all dying.,Hepimiz ölüyoruz.
We're all going.,Hepimiz gidiyoruz.
We're all happy.,Hepimiz mutluyuz.
We're all human.,Hepimiz insanız.
We're all ready.,Hepimiz hazırız.
We're all right.,Biz iyiyiz.
We're all sorry.,Hepimiz üzgünüz.
We're all tired.,Hepimiz yorgunuz.
We're ambitious.,Hırslıyız.
We're available.,Biz mevcutuz.
We're back home.,Eve dönüyoruz.
We're both fine.,İkimiz de iyiyiz.
We're both rich.,İkimiz de zenginiz.
"We're busy, Tom.","Biz meşgulüz, Tom."
We're comedians.,Biz komedyeniz.
We're coming in.,Biz içeriye geliyoruz.
We're committed.,Biz kendimizi adamışız.
We're confident.,Biz eminiz.
We're contented.,Biz hoşnutuz.
We're dedicated.,Biz adanmışız.
We're depressed.,Biz bunalımlıyız.
We're different.,Biz farklıyız.
We're done here.,Biz burada hazırız.
We're easygoing.,Biz uysalız.
We're efficient.,Biz verimliyiz.
We're energetic.,Biz enerjiğiz.
We're exhausted.,Biz çok yorgunuz.
We're expecting.,Biz bekliyoruz.
We're fine here.,Biz burada iyiyiz.
We're fixing it.,Biz onu tamir ediyoruz.
We're flattered.,Pohpohlandık.
We're fortunate.,Biz şanslıyız.
We're from here.,Biz buralıyız.
We're gardeners.,Biz bahçıvanız.
We're gentlemen.,Biz beyefendiyiz.
We're giving up.,Vazgeçiyoruz.
We're going now.,Şimdi gidiyoruz.
We're going out.,Dışarı çıkıyoruz.
"We're here, too.",Biz de buradayız.
We're home free.,Artık eve gidebiliriz.
We're horrified.,Biz dehşete düştük.
We're impartial.,Biz tarafsızız.
We're impatient.,Biz sabırsızız.
We're impressed.,Biz etkilendik.
We're impulsive.,Biz iticiyiz.
We're in Boston.,Boston'dayız.
We're in a rush.,Acelemiz var.
We're in charge.,Sorumluyuz.
We're in danger.,Tehlikedeyiz.
We're incorrect.,Biz hatalıyız.
We're intrigued.,Biz meraklıyız.
We're listening.,Dinliyoruz.
We're losing it.,Onu kaybediyoruz.
We're motivated.,Biz motive edildik.
We're moving on.,Yolumuza devam ediyoruz.
We're neighbors.,Biz komşuyuz.
We're newcomers.,Biz yeni gelenleriz.
We're newlyweds.,Biz yeni evliyiz.
We're not alone.,Yalnız değiliz.
We're not angry.,Kızgın değiliz.
We're not crazy.,Biz deli değiliz.
We're not fools.,Biz aptal değiliz.
We're not fussy.,Biz telaşlı değiliz.
We're not going.,Gitmiyoruz.
We're not happy.,Mutlu değiliz.
We're not ready.,Hazır değiliz.
We're not wrong.,Hatalı değiliz.
We're not young.,Genç değiliz.
We're now alone.,Şimdi yalnızız.
We're objective.,Biz tarafsızız.
We're observant.,Biz dikkatliyiz.
We're on a date.,Biz bir randevudayız.
We're optimists.,Biz iyimseriz.
We're organized.,Biz organizeyiz.
We're past that.,Biz onun ötesindeyiz.
We're plastered.,Biz sarhoşuz.
We're powerless.,Biz güçsüzüz.
We're prisoners.,Biz mahkûmuz.
We're ready now.,Şimdi hazırız.
We're realistic.,Biz gerçekçiyiz.
We're resigning.,Biz istifa ediyoruz.
We're resilient.,Biz esneğiz.
We're safe here.,Burada güvendeyiz.
We're satisfied.,Biz hoşnutuz.
We're screaming.,Biz çığlık atıyoruz.
We're sensitive.,Biz duyarlıyız.
We're separated.,Biz ayrıldık.
We're snowed in.,Kardan mahsur kaldık.
We're surprised.,Biz şaşırdık.
We're surviving.,Yaşamayı sürdürüyoruz.
We're survivors.,Biz kazazadeyiz.
We're terrified.,Korktuk.
We're too close.,Çok yakınız.
We're uninsured.,Biz sigortasızız.
We're unrelated.,Biz akraba değiliz.
We're very busy.,Biz çok meşgulüz.
We're very fast.,Çok hızlıyız.
We're very poor.,Biz çok fakiriz.
We've been away.,Uzaktaydık.
We've been busy.,Biz meşguldük.
We've come home.,Eve geldik.
We've done that.,Onu yaptık.
We've done well.,Biz iyi yaptık.
We've found Tom.,Tom'u bulduk.
We've got these.,Bunlara sahibiz.
We've got to go.,Gitmek zorundayız.
We've hired Tom.,Biz Tom'u işe aldık.
We've lost them.,Onları kaybettik.
We've never met.,Hiç karşılaşmadık.
We've no choice.,Seçeneğimiz yok.
We've seen them.,Onları gördük.
We've upset Tom.,Tom'u üzdük.
We've upset Tom.,Biz Tom'u üzdük.
"Well done, guys.","Bravo, arkadaşlar."
Were they lying?,Onlar yalan söylüyor muydu?
Were they right?,Onlar haklı mıydı?
Were you asleep?,Uyuyor muydun?
Were you crying?,Ağlıyor muydun?
Were you scared?,Korktun mu?
What a big cake!,Ne büyük bir pasta!
What a blessing!,Ne lütuf!
What a cute cat!,Ne şirin bir kedi!
What a disaster!,Ne felaket ama!
What a headache!,Ne baş ağrısı!
What a huge dog!,Ne büyük bir köpek!
What a nice guy!,Ne kibar bir adam!
What a nice man!,Ne güzel bir adam!
What a nice tie!,Ne güzel bir kravat!
What a rude man!,Ne kaba bir adam!
What a surprise!,Ne sürpriz!
What a treasure!,Ne hazine!
What am I doing?,Ben ne yapıyorum?
What am I to do?,Ne yapmam gerekiyor?
What can Tom do?,Tom ne yapabilir?
What can you do?,Ne yapabilirsin?
What comes next?,Sırada ne var?
What could I do?,Ne yapabilirim?
What did I know?,Ne biliyordum?
What did I miss?,Ne kaçırdım?
What did Tom do?,Tom ne yaptı?
What did he say?,O ne söyledi?
What did he see?,O ne gördü?
What did we get?,Biz ne aldık?
What did you do?,Ne yaptın?
What do they do?,Onlar ne yapıyor?
What do we have?,Neyimiz var?
What do we know?,Ne biliyoruz?
What do you bid?,Ne teklif veriyorsun?
What do you say?,Ne diyorsun?
What do you see?,Ne görüyorsun?
What fell on me?,Üzerime ne düştü?
What is he like?,O nasıl biridir?
What is his age?,Onun yaşı nedir?
What is it like?,O neye benziyor?
"What is it, Tom?","O nedir, Tom?"
What is missing?,Ne eksik?
What killed Tom?,Tom'u ne öldürdü?
What must we do?,Ne yapmalıyız?
What scared you?,Seni ne korkuttu?
What shall I do?,Ne yapacağım?
What time is it?,Saat kaç?
What was inside?,İçinde ne vardı?
What was it for?,O ne içindi?
What was stolen?,Ne çalındı?
What went wrong?,Ne yanlış gitti?
What year is it?,Hangi yıl?
What'll Tom say?,Tom ne diyecek?
What'll Tom win?,Tom ne kazanacak?
What'll be next?,Bundan sonra ne olacak?
What'll it cost?,Bu kaça mal olacak?
What'll you buy?,Ne satın alacaksın?
What'll you eat?,Ne yiyeceksin?
What's Tom done?,Tom ne yaptı?
What's Tom like?,Tom nasıl biri?
What's Tom mean?,Tom ne demek istiyor?
What's Tom want?,Tom ne istiyor?
What's all this?,Bütün bunlar ne?
What's at stake?,Risk altında olan nedir?
What's going on?,Neler oluyor?
What's happened?,Ne oldu?
What's he up to?,O neler çeviriyor?
What's her name?,Onun adı nedir?
What's his name?,Onun adı nedir?
What's in there?,Oradaki nedir?
What's it about?,O ne hakkında?
What's it worth?,Bu neye değer?
What's its name?,Onun adı nedir?
What's kept you?,Seni ne korudu?
What's my prize?,Ödülüm ne?
What's not fair?,Ne adil değil?
What's our goal?,Hedefimiz nedir?
What's our plan?,Planımız ne?
What's so funny?,O kadar komik olan nedir?
What's that for?,O ne içindir?
What's the cost?,Maliyeti nedir?
What's the date?,Tarih nedir?
What's the deal?,Anlaşma nedir?
What's the goal?,Amaç nedir?
What's the harm?,Zarar nedir?
What's the idea?,Fikir nedir?
What's the joke?,Şaka nedir?
What's the news?,Haber nedir?
What's the plan?,Planınız nedir?
What's the rule?,Kural nedir?
What's the rush?,Acele nedir?
What's the time?,Saat kaç?
What's the word?,Kelime nedir?
What's this for?,Bu neye yarar?
What's up there?,Oranın üstündeki ne?
"What's up, dude?",Naber ahbap?
What's with Tom?,Tom'un nesi var?
What's with him?,Onun nesi var?
What's with you?,Derdin ne senin?
What's with you?,Senin neyin var?
What's your GPA?,Genel not ortalaman nedir?
What's your age?,Yaşınız nedir?
What's your job?,Sizin işiniz nedir?
What've you got?,Neyin var?
When can we eat?,Biz ne zaman yiyebiliriz?
When did Tom go?,Tom ne zaman gitti?
When did it end?,O ne zaman bitti?
When did you go?,Ne zaman gittin?
When do you run?,Ne zaman çalışırsın?
When will we go?,Ne zaman gideceğiz?
Where can I eat?,Nerede yemek yiyebilirim?
Where can I sit?,Nerede oturabilirim?
Where can we go?,Nereye gidebiliriz?
Where did he go?,Nereye gitti?
Where did it go?,O nereye gitti?
Where do I sign?,Nereye imza atacağım?
Where do I turn?,Nerede dönerim?
Where is Boston?,Boston nerede?
Where is Father?,Babam nerede?
Where is Manila?,Manila nerede?
Where is an ATM?,Nerede bir ATM var?
Where is it now?,O şimdi nerede?
Where is my bow?,Yayım nerede?
Where is my car?,Arabam nerede?
Where is my dad?,Babam nerede?
Where is my dog?,Köpeğim nerede?
Where is my son?,Oğlum nerede?
Where were they?,Onlar neredeydi?
Where were they?,Onlar nerdeydiler?
Where were they?,Onlar nerdeydi?
Where were they?,Onlar neredeydiler?
Where's Tom now?,Tom şimdi nerede?
Where's it from?,O nereden?
Where's it used?,O nerede kullanılır?
Where's my ball?,Topum nerede?
Where's my beer?,Benim bira nerede?
Where's my bike?,Bisikletim nerede?
Where's my book?,Benim kitabım nerede?
Where's my book?,Kitabım nerede?
Where's my cane?,Bastonum nerede?
Where's my coat?,Ceketim nerede?
Where's my comb?,Tarağım nerede?
Where's my desk?,Masam nerede?
Where's my food?,Yiyeceğim nerede?
Where's my mama?,Annem nerede?
Where's my ring?,Yüzüğüm nerede?
Where's my room?,Odam nerede?
Where's my wife?,Karım nerede?
Where's our car?,Bizim araba nerede?
Where's the bag?,Çanta nerede?
Where's the boy?,Çocuk nerede?
Where's the car?,Araba nerede?
Where's the cat?,Kedi nerede?
Where's the dog?,Köpek nerede?
Where's the ice?,Buz nerede?
Where's the key?,Anahtar nerede?
Where's the map?,Harita nerede?
Where's the oar?,Kürek nerede?
Where's the zoo?,Hayvanat bahçesi nerede?
Which are Tom's?,Hangileri Tom'unki?
Which are Tom's?,Hangileri Tom'un?
Which are Tom's?,Tom'unkiler hangisi?
Which is better?,Hangisi daha iyi?
Which key is it?,O hangi anahtar?
Which leg hurts?,Hangi bacak acıyor?
Who are you all?,Tam olarak kimsin?
Who beat you up?,Seni kim dövdü?
Who betrayed us?,Bize kim ihanet etti.
Who bought that?,Onu kim aldı?
Who bought this?,Bunu kim aldı?
Who brought Tom?,Tom'u kim getirdi?
Who called them?,Onları kim aradı?
Who can be sure?,Kim emin olabilir?
Who can help me?,Bana kim yardım edebilir?
Who can stop us?,Bizi kim durdurabilir?
Who can that be?,O kim olabilir?
Who contributed?,Kim katkıda bulundu?
Who controls it?,Onu kim kontrol ediyor?
Who could it be?,O kim olabilir?
Who designed it?,Onu kim tasarladı?
Who did Tom hit?,Tom'a kim vurdu?
Who did you ask?,Sen kimi sordun?
Who did you see?,Kimi gördün?
Who do we blame?,Biz kimi suçluyoruz?
Who do you like?,Sen kimi beğeniyorsun?
Who do you mean?,Kimi kastediyorsun?
Who do you want?,Kimi istiyorsun?
Who elected you?,Kim seni seçti?
Who fired first?,Önce kim ateş etti?
Who got married?,Kim evlendi?
Who has the gun?,Kimin silahı var?
Who invited you?,Seni kim davet etti?
Who is confused?,Kimin kafası karışmış?
Who is that boy?,O çocuk kimdir?
Who is that guy?,O adam kim?
Who is that man?,Bu adam kim?
Who is that man?,Bu adam kimdir?
Who is this boy?,Bu çocuk kimdir?
Who is this for?,Bu kim için?
Who is this guy?,Bu adam kimdir?
Who is to blame?,Kimin suçu?
Who is to blame?,Suçlayacak kim var?
Who is your dad?,Baban kim?
Who likes beans?,Kim fasulye sever?
Who made dinner?,Akşam yemeğini kim yaptı.
Who paid for it?,Bunun için kim ödedi?
Who punched you?,Kim seni yumrukladı?
Who received it?,Onu kim aldı?
Who rescheduled?,Kim yeniden planladı?
Who scolded Tom?,Kim Tom'u azarladı?
Who should vote?,Kime oy vermeliyiz?
Who stabbed Tom?,Kim Tom'u bıçakladı?
Who stabbed you?,Seni kim bıçakladı?
Who surrendered?,Kim teslim oldu?
Who teaches you?,Sana kim öğretiyor?
Who teaches you?,Sana kim ders veriyor?
Who tricked you?,Seni kim kandırdı?
Who volunteered?,Kim isteyerek yaptı?
Who wants jello?,Kim jöle istiyor?
Who wants to go?,Kim gitmek istiyor?
Who was playing?,Kim oynuyordu?
Who was the man?,Adam kimdi?
Who wrote these?,Bunları kim yazdı?
Who'd know that?,Onu kim bilirdi?
Who'll be there?,Kim orada olacak?
Who'll tell Tom?,Tom'a kim söyleyecek?
Who's after you?,Kim peşinde?
Who's been shot?,Kim vuruldu?
Who's in charge?,Sorumlu kim?
Who's resigning?,Kim istifa ediyor.
Who's screaming?,Kim bağırıyor?
Who's that girl?,O kız kimdir?
Who's that lady?,O kadın kim?
Who's the loser?,Kim kaybetti?
Who's the owner?,Mal sahibi kim?
Who's your aunt?,Teyzen kim?
Who's your aunt?,Halan kim?
Who's your boss?,Patronun kim?
Whose are these?,Bunlar kimin?
Why am I crying?,Neden ağlıyorum?
Why are we here?,Neden buradayız?
Why are we poor?,Neden biz fakiriz?
Why are you mad?,Neden kızgınsın?
Why are you sad?,Neden üzgünsün?
Why did Tom lie?,Tom neden yalan söyledi?
Why did we fail?,Neden başarısız olduk?
Why did you ask?,Neden sordun?
Why did you cry?,Niçin ağladın?
Why did you cry?,Neden ağladın?
Why did you lie?,Neden yalan söyledin?
Why did you run?,Niçin koştun?
Why do this now?,Bu neden şimdi?
Why do we dream?,Niçin hayal ederiz?
Why do you blog?,Neden blog yazıyorsun?
Why do you care?,Neden umursuyorsun?
Why do you work?,Neden çalışıyorsun?
Why is Tom back?,Tom neden geri geldi?
Why is Tom here?,Tom neden burada?
Why is Tom home?,Tom niçin evde?
Why is Tom late?,Tom neden gecikti.
Why is he angry?,O niçin kızgın?
Why is he angry?,O niçin öfkeli?
Why is it empty?,O neden boş?
Why is it there?,O neden orada?
Why is she here?,O niye burada?
Why not ask Tom?,Neden Tom'a sormuyorsun?
Why should I go?,Niçin gitmeliyim?
Why was I fired?,Neden kovuldum?
Why was it done?,O neden yapıldı?
Why would I lie?,Neden yalan söylerdim?
Will he recover?,O iyileşecek mi?
Will you buy it?,Bunu alacak mısın?
Wolves scare me.,Kurtlar beni korkutuyor.
Women love that.,Kadınlar şuna bayılır.
Women love that.,Kadınlar şunu sever.
Words failed me.,Sözler beni başarısız etti.
Would $300 help?,300 dolar yardım eder miydi?
Would I kid you?,Sana takılabilir miyim?
Would you do it?,Onu yapar mısın?
Would you relax?,Rahatlar mısın?
Write an answer.,Cevap yazın.
Write something.,Bir şey yaz.
Write that down.,Onu yazın.
Write this down.,Bunu yazın.
Write your name.,Adını yaz.
"Yes, I did that.","Evet, bunu ben yaptım."
You almost died.,Neredeyse ölüyordun.
You always fail.,Her zaman başarısız oluyorsun.
You always sing.,Her zaman şarkı söylüyorsun.
You are a woman.,Sen bir kadınsın.
You are excused.,Sen muafsın.
You are my hero.,Sen benim kahramanımsın.
You are my life.,Sen benim hayatımsın.
You are naughty.,Sen yaramazsın.
You are so cute.,Çok sevimlisin.
You are so kind.,Çok naziksin.
You are special.,Sen özelsin.
You are tallest.,Sen en uzunsun.
You are the one.,Sen teksin.
You aren't dead.,Ölmüş değilsin.
You aren't dead.,Ölü değilsiniz.
You aren't here.,Burada değilsin.
You aren't here.,Burada değilsiniz.
You aren't hurt.,Yaralı değilsin.
You aren't hurt.,Yaralı değilsiniz.
You aren't late.,Sen geç kalmadın.
You aren't late.,Geç kalmadınız.
You aren't rich.,Sen zengin değilsin.
You aren't rich.,Zengin değilsiniz.
You aren't safe.,Sen güvenli değilsin.
You aren't safe.,Güvenli değilsiniz.
You aren't ugly.,Çirkin değilsin.
You aren't ugly.,Çirkin değilsiniz.
You aren't well.,İyi değilsin.
You aren't well.,İyi değilsiniz.
You betrayed me.,Bana ihanet ettin.
You betrayed us.,Bize ihanet ettin.
You can ask Tom.,Tom'a sorabilirsin.
You can call me.,Beni arayabilirsin.
You can come in.,Girebilirsin.
You can do that.,Onu yapabilirsin.
You can do this.,Bunu yapabilirsin.
You can go back.,Geri gidebilirsin.
You can go home.,Eve gidebilirsin.
You can have it.,Onu alabilirsin.
You can help me.,Bana yardım edebilirsin.
You can keep it.,Sende kalabilir.
You can make it.,Onu yapabilirsiniz.
You can take it.,Onu alabilirsin.
You can tell me.,Bana söyleyebilirsin.
You can tell us.,Bize söyleyebilirsin.
You can't do it.,Onu yapamazsın.
You can't leave.,Gidemezsin.
You cannot lose.,Kaybedemezsin.
You caused this.,Buna sen sebep oldun.
You could relax.,Rahatlayabilirsin.
You could start.,Başlayabilirsin.
You crack me up.,Beni çok güldürüyorsun.
You deceived me.,Beni aldattın.
You deserved it.,Sen bunu hak ettin.
You deserved it.,Onu hak ettin.
You did nothing.,Hiçbir şey yapmadın.
You didn't look.,Bakmadın.
You got cheated.,Sen aldatıldın.
You got the job.,Sen işi aldın.
You have cancer.,Senin kanserin var.
You have my mug.,Sen benim kupamı aldın.
You have to eat.,Yemek zorundasın.
You have to eat.,Yemek zorundasınız.
You have to try.,Denemek zorundasın.
You have wisdom.,Senin bilgeliğin var.
You heard right.,Doğru duydun.
You heard wrong.,Yanlış duydunuz.
You just listen.,Sen sadece dinle.
You knew I knew.,Bildiğimi biliyordun.
You know better.,Sen daha iyi bilirsin.
You know enough.,Yeterince biliyorsun.
You know people.,İnsanları tanıyorsun.
You let me down.,Beni hayal kırıklığına uğrattın.
You lied to Tom.,Tom'a yalan söyledin.
You lied to Tom.,Tom'a yalan söylediniz.
You like apples.,Sen elma seversin.
You look a mess.,Sen berbat görünüyorsun.
You look afraid.,Korkmuş görünüyorsun.
You look amused.,Eğlenceli görünüyorsun.
You look bummed.,Şaşırmış görünüyorsun.
You look filthy.,Kirli görünüyorsun.
You look gloomy.,Kasvetli görünüyorsun.
You look guilty.,Sen suçlu görünüyorsun.
You look hungry.,Aç görünüyorsun.
You look lonely.,Yalnız görünüyorsun.
You look lovely.,Çok hoş görünüyorsun.
You look normal.,Normal görünüyorsun.
You look pretty.,Sevimli görünüyorsun.
You look shaken.,Sarsılmış görünüyorsun.
You look sleepy.,Uykulu görünüyorsun.
You look strong.,Güçlü görünüyorsun.
You look stupid.,Aptal görünüyorsun.
You look uneasy.,Huzursuz görünüyorsun.
You look unsure.,Riskli görünüyorsun.
You look wasted.,Sen heba olmuş görünüyorsun.
You look winded.,Soluğu kesilmiş görünüyorsun.
You looked busy.,Meşgul görünüyordun.
You looked calm.,Sakin görünüyordun.
You lucky devil!,Ne kadar şanslısın!
You made my day.,Beni sevindirdin.
You may be hurt.,İncinmiş olabilirsiniz.
You may be next.,Sıradaki olabilirsin.
You may eat now.,Şimdi yemek yiyebilirsin.
You may go home.,Eve gidebilirsin.
You may have it.,Onu alabilirsin.
You may proceed.,Devam edebilirsin.
You must be Tom.,Sen Tom olmalısın.
You must comply.,Uyumlu olmalısın.
You must go now.,Derhal gitmek zorundasın.
You must listen.,Dinlemelisin.
You must return.,Geri dönmelisin.
You mustn't lie.,Yalan söylememelisin.
You nearly died.,Neredeyse ölüyordun.
You need a bath.,Bir banyoya ihtiyacın var.
You need a plan.,Bir plana ihtiyacın var.
You need a ride?,Bir yere gitmek ister misin?
You need to act.,Hareket etmelisin.
You need to act.,Hareket etmen gerekiyor.
You need to sit.,Oturman gerekiyor.
You never laugh.,Sen asla gülmezsin.
You never smile.,Hiç gülümsemiyorsun.
You promised me.,Bana söz verdin.
You seem OK now.,Artık iyi görünüyorsun.
You seem afraid.,Korkmuş görünüyorsun.
You seem better.,Daha iyi görünüyorsun.
You seem hungry.,Aç görünüyorsun.
You seem lonely.,Yalnız görünüyorsun.
You seem unsure.,Emin görünmüyorsun.
You seemed busy.,Meşgul görünüyordun.
You seemed calm.,Sakin görünüyordun.
You should call.,Aramalısın.
You should come.,Gelmelisin.
You should quit.,Bırakmalısın.
You should rest.,Dinlenmelisin.
You should stay.,Kalmalısın.
You should stop.,Durmalısın.
You should vote.,Sen oy vermelisin.
You smell awful.,Berbat kokuyorsun.
You smell great.,Harika kokuyorsun.
You sold me out.,Beni sattın.
You sold me out.,Beni ortada bıraktın.
You sound angry.,Öfkeli görünüyorsun.
You sound funny.,Komik görünüyorsun.
You sound tired.,Sen yorgun görünüyorsun.
You sound upset.,Üzgün görünüyorsun.
You startled me!,Beni korkuttun!
You startled me.,Beni korkuttun.
You startled us.,Bizi korkuttun.
You stood me up.,Sen beni ektin.
You take charge.,Sen sorumluluğu al.
You wanna fight?,Döğüşmek mi istiyorsun?
You were a fool.,Sen bir aptaldın.
You were a hero.,Sen bir kahramandın.
You were a jerk.,Sen bir pisliktin.
You were asleep.,Uyuyordun.
You were clever.,Sen akıllıydın.
You were guilty.,Suçluydun.
You were misled.,Sen yanlış yönlendirildin.
You were warned.,Uyarıldın.
You will listen.,Dinleyeceksin.
You will listen.,Dinleyeceksiniz.
You work for me.,Sen benim için çalışıyorsun.
You work for me.,Siz benim için çalışıyorsunuz.
You work it out.,Sen onu hallet.
You worked hard.,Sen sıkı çalıştın.
You'd better go.,Gitmen iyi olur.
You'd better go.,Gitsen iyi olur.
You'd regret it.,Bundan pişman olurdun.
You'll be alone.,Yalnız olacaksın.
You'll be great.,Harika olacaksın.
You'll be happy.,Sen mutlu olacaksın.
You'll be ready.,Hazır olacaksın.
You'll be sorry!,Üzülürsün!
You'll be sorry.,Üzüleceksin.
You'll catch on.,Anlayacaksın.
You'll catch up.,Yetişeceksin.
You'll die soon.,Yakında öleceksin.
You'll do great.,Çok iyi yapacaksın.
You'll find one.,Birini bulacaksın.
You'll find out.,Öğreneceksin.
You'll get hurt.,İncineceksin.
You'll get lost.,Kaybolacaksın.
You'll like Tom.,Tom'dan hoşlanacaksın.
You'll love Tom.,Tom'u seveceksin.
You'll meet Tom.,Tom'la buluşacaksın.
You'll miss Tom.,Tom'u özleyeceksin.
You'll need one.,Birisine ihtiyacın olacak.
You'll need one.,Bir taneye ihtiyacın olacak.
You'll stay put.,Kıpırdamadan duracaksın.
You'll thank me.,Bana teşekkür edeceksin.
You're a beauty.,Sen bir güzelsin.
You're a coward.,Sen bir korkaksın.
You're a friend.,Sen bir arkadaşsın.
You're a genius.,Sen bir dehasın.
You're a grouch.,Sen bir dırdırcısın.
You're a hottie.,Sen bir çekici tipsin.
You're a keeper.,Sen bir kalecisin.
You're a looker.,Sen bir bakıcısın.
You're a menace.,Sen bir tehditsin.
You're a nobody.,Sen bir hiçsin.
You're a person.,Sen bir insansın.
You're a psycho.,Sen bir psikopatsın.
You're a racist.,Sen bir ırkçısın.
You're a sexist.,Sen bir cinsiyetçisin.
You're a weirdo.,Sen bir garipsin.
You're a winner.,Sen bir kazanansın.
You're adorable.,Sen çok güzelsin.
You're after me.,Sen benim peşimdesin.
You're agitated.,Sen ajite olmuşsun.
You're all done.,Hepiniz sarhoşsunuz.
You're all done.,Hepiniz çok yorgunsunuz.
You're all done.,Hepiniz bitmişsiniz.
You're all mine.,Hepiniz benimsiniz.
You're an adult.,Sen bir yetişkinsin.
You're an angel!,Sen bir meleksin!
You're an angel.,Sen bir meleksin.
You're an idiot.,Sen bir salaksın.
You're annoying.,Sen can sıkıcısın.
You're arrogant.,Küstahsın.
You're artistic.,Sen artistiksin.
You're athletic.,Sen atletiksin.
You're babbling.,Gevezelik ediyorsun.
You're barbaric.,Sen barbarsın.
You're bleeding.,Sen Allah'ın cezasısın.
You're bluffing.,Blöf yapıyorsun.
You're blushing.,Kızarıyorsun.
You're careless.,Sen dikkatsizsin.
You're charming.,Çekicisin.
You're cheating.,Sen aldatıyorsun.
You're confused.,Kafan karışmış.
You're creative.,Yaratıcısın.
You're credible.,Sen inanılırsın.
You're cultured.,Sen kültürlüsün.
You're decisive.,Sen kararlısın.
You're demented.,Sen bunaksın.
You're diligent.,Sen çalışkansın.
You're discreet.,Sen ağzı sıkısın.
You're disloyal.,Sen vefasızsın.
You're dreaming.,Hayal kuruyorsun.
You're eloquent.,Sen beliğsin.
You're escaping.,Sen kaçıyorsun.
You're fabulous.,Sen mükemmelsin.
